id,family,language,title,translation,form,photo,size,dough,stuffing, method,extra,comments,sources,мука,яйцо,вода,соль,настой зеленого чая,кукурузная мука,мясо,рыба,творог,зелень,картофель,другие овощи,редька,фрукты,ягоды,бульон,сметана,масло,уксус,жареные.ребра.или.стейки
1,Тюркская,Crimean Tatar,Юфакъ-аш (Юфах-аш),маленькая еда,кораблик,http://xcook.info/sites/default/files/recipe/3/yufahash-7.jpeg,1.25,"мука, яйцо, вода, соль",мясо,В воде,"бульон, сметана","по традиции их лепит невеста для своего суженого, по тому, сколько пельмешек поместится в столовую ложку, оценивают мастерство хозяйки","<a href=""http://xcook.info/recipe/malenkie-tatarskie-pelmeni-jufahash.html"">ссылка 1</a>, <a href=""https://www.liveinternet.ru/users/3803925/post206840855/"">ссылка 2</a>, <a href=""https://zernograd.com/recipe/kashyk-ash-lozhechnyj-sup-krymskih-tatar-crimean-tatar-soup-small-dumplings/"">ссылка 3</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2,Тюркская,Bashkir,Башҡорт билмәне,башкирские пельмени,кораблик,http://www.bashkirskayakuhnya.com/wp-content/gallery/bluda/004.jpg,5,"мука, яйцо, вода, соль",мясо,На пару / в воде,"бульон, сметана",,"<a href=""https://www.bashkirskayakuhnya.com/supy/%d0%b1%d0%b0%d1%88%d0%ba%d0%b8%d1%80%d1%81%d0%ba%d0%b8%d0%b5-%d0%bf%d0%b5%d0%bb%d1%8c%d0%bc%d0%b5%d0%bd%d0%b8-%d0%b1%d0%b0%d1%88%d2%a1%d0%be%d1%80%d1%82-%d0%b1%d0%b8%d0%bb%d0%bc%d3%99%d0%bd%d0%b5/, https://www.patee.ru/recipes/pelmeni/view/?id=1146608"">ссылка</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
3,Тюркская,Chuvash,Хуран кукли,пирог из котла,лодочки,https://static.tildacdn.com/tild3661-3932-4736-a632-323335343139/noroot.png,,"мука, яйцо, соль",творог,В воде,"сметана, масло","есть и другие начинки, но творог с луком - традиционная","<a href=""https://visitvolga.ru/blog/chuvash-cuisine-in-main-dishes/"">ссылка 1</a>, <a href=""https://chemodan-tour.ru/excursions-cheboksary/chuvashskaya-nacionalnaya-kuxnya/"">ссылка 2</a>",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
4,Тюркская,Tuvinian,Манчи,,лодочки,https://sun9-25.userapi.com/c853424/v853424193/2345f8/3iiCl7c6qXI.jpg,9,"мука, яйцо, вода, соль",мясо,В воде,бульон,,"<a href=""https://itsfood.ru/12-interesnykh-blyud-tuvinskoy-natsionalnoy-kukhni"">ссылка</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5,Тюркская,Tuvinian (2),Пуца,,кувшинчик?,http://registan.kz/wp-content/uploads/2013/08/images-11.jpg,9,"мука, яйцо, настой зеленого чая, соль",мясо,На пару,неизвестно,,"<a href=""https://supercook.ru/ussr-f/ussr-f-45.html, http://registan.kz/puca/"">ссылка</a>",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
6,Тунгусо-манчьжурская,Nanai,Бианси (бянгси),,полумесяц,http://khamzin-fm.com/wp-content/uploads/2018/06/20180625_155457-1.jpg,9,"мука, вода, соль",рыба,В воде,масло,,"<a href=""https://zen.yandex.ru/media/vyazankin/nanaiskaia-kuhnia-taksa-duduese-talani-i-sazan-5b474cfc9084f600b18e1563"">ссылка</a>",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
7,Монгольская,Russia Buriat,Буузы (позы),,чашечка,https://upload.wikimedia.org/wikipedia/commons/2/25/%D0%91%D1%83%D1%83%D0%B7%D1%8B.JPG,6.5,"мука, яйцо, вода, соль",мясо,На пару,неизвестно,,"<a href=""https://eda.ru/recepty/osnovnye-blyuda/buuzi-tradicionnoe-burjatskoe-bljudo-42067"">ссылка 1</a>,  <a href=""https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B7%D1%8B"">ссылка 2</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,FALSE
8,Монгольская,Oirad-Kalmyk,Берики,,лодочки,https://img-global.cpcdn.com/steps/6ae840446db4d4e8/320x240cq70/bieriki-%D1%88%D0%B0%D0%B3-%D0%BF%D1%80%D0%B8%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F-4.jpg,,"мука, яйцо, вода",мясо,В воде,масло,,"<a href=""http://kitchen.727go.com/beriki/"">ссылка 1</a>, <a href=""https://cookpad.com/ru/recipes/11617316-bieriki"">ссылка 2</a>",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
9,Уральская,Udmurt,Пельнянь,хлебное ухо,полумесяц,https://vorshud.unatlib.ru/images/c/ce/%D0%9F%D0%B5%D0%BB%D1%8C%D0%BD%D1%8F%D0%BD%D1%8C%21.jpg,8,"мука, яйцо, вода, соль",мясо / овощи / ягоды / зелень / рыба,В воде,"сметана, масло",,"<a href=""https://vorshud.unatlib.ru/index.php/%D0%A0%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D1%8B_%D0%B1%D0%BB%D1%8E%D0%B4_%D0%BD%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9_%D1%83%D0%B4%D0%BC%D1%83%D1%80%D1%82%D1%81%D0%BA%D0%BE%D0%B9_%D0%BA%D1%83%D1%85%D0%BD%D0%B8"">ссылка</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
10,Уральская,Komi-Zyrian,"Цемор (цемарт, цемäра)",,полумесяц,https://make-eat.ru/assets/cache_image/diserty/v0022_0x280_d74.jpg,,"мука, яйцо, вода, соль",редька,В воде,неизвестно,,"<a href=""https://make-eat.ru/pelmeni-s-redkoj.html"">ссылка</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,FALSE,FALSE
